Unemployment,Unemployment actual,RealGDP,RealGDP actual,Core CPI,Core CPI actual,Core PCE,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE
Unemployment,3.683333,RealGDP,4.44722,Core CPI,2.17432412557292,Core PCE,1.52903905586508,0.6164475,3.970826,1.9215336,1.3750116,0.6366666166666669,3.955357152380954,1.9170008314675195,1.330530072486263
Unemployment,7.35833333333333,RealGDP,1.55083,Core CPI,2.17432412557292,Core PCE,1.57823742497407,7.233536,1.6389419,1.9820151,1.6900741,7.298333333333341,1.6166416874999978,2.097886545617443,1.708456115863412
Unemployment,7.35833333333333,RealGDP,2.16118,Core CPI,1.75022285064397,Core PCE,1.82189194515254,7.295926,2.5743508,1.1511644,1.6620715,7.362314814814828,2.2597706250000003,0.9129370239546307,1.8218919451525422
Unemployment,4.875,RealGDP,1.55083,Core CPI,1.99951403422141,Core PCE,1.57823742497407,4.645742,2.01672,1.9951875,1.5916989,4.538240740740751,2.0142657500000025,2.0057306500887084,1.616212566892016
Unemployment,9.60833333333333,RealGDP,2.52597,Core CPI,2.191476,Core PCE,1.92555704965729,9.618961,2.296937,2.0828445,1.7484078,9.608333333333347,2.4534292499999926,2.128265820226628,1.9222527330423584
Unemployment,5.275,RealGDP,0.0,Core CPI,0.0,Core PCE,1.57823742497407,5.4752903,-0.0082562715,0.009658819,1.6766882,5.456944444444431,0.0,0.0,1.6105986927685962
Unemployment,3.683333,RealGDP,3.07551,Core CPI,2.191476,Core PCE,0.923599155883825,3.6393404,3.266753,2.1493666,1.3761883,3.6782172597222136,3.0755100000000057,2.153147170123371,1.0812123337992434
Unemployment,0.0,RealGDP,2.24955,Core CPI,1.72314678876611,Core PCE,1.80752567718949,-0.02568217,2.3378398,1.7415457,1.7041318,0.0,2.3250450624999983,1.7248961117494317,1.747785088873626
Unemployment,5.275,RealGDP,2.24955,Core CPI,1.7271000610448,Core PCE,2.25317372895313,4.8001323,1.6697109,1.7586571,1.8962063,4.5384722222222305,1.6855862041666654,1.7831909755386746,2.201134979208349
Unemployment,8.075,RealGDP,2.33268,Core CPI,1.75022285064397,Core PCE,1.647664,8.179337,2.445304,1.8248595,1.7351451,8.157638888888911,2.432292874999998,1.8486928681570602,1.6592930618747832
